node_id,pagerank,community
Justin Chadwick,1.0998185754739105,3578
Steven Brill,1.0992753318309794,3500
Carl Rinsch,1.095081475262394,2626
Dan Gilroy,1.0930037899271163,3282
"Albert Hughes, Allen Hughes",1.0909129741343913,2163
Darren Lynn Bousman,1.0877666601900866,5033
Gary Fleder,1.0873150248416363,3500
John Polson,1.0858382284354384,4685
Miguel Arteta,1.0846974263711615,3282
David Lowery,1.0820198111778492,5034
Kirk Jones,1.081109939254632,3212
David Soren,1.0764697136602592,3123
Samuel Bayer,1.075771010024957,5222
Tom McGrath,1.0752889215967654,4663
Dexter Fletcher,1.0734727243037572,3368
Mark Osborne,1.072103347052184,3578
Kimberly Peirce,1.0718397135684248,3500
Travis Knight,1.0717690045329085,3368
Jennifer Yuh Nelson,1.070912837940179,5181
Fede Alvarez,1.0700865808215863,3500
Alejandro Amenábar,1.06971701868894,5139
Dan Scanlon,1.0693909515876479,3282
Dean Parisot,1.0655023076515229,5034
Mathieu Kassovitz,1.063749058109155,1292
Dave Meyers,1.0613534205176811,2870
Joe Carnahan,1.0609813293730948,5033
"Henry Joost, Ariel Schulman",1.0563131037320237,3624
Dean DeBlois,1.0562567792292454,3368
Julie Taymor,1.0540569351289568,5181
Chris Wedge,1.0535894615913557,2132
Chris Gorak,1.0522650232444573,3433
Drew Goddard,1.0520808367921473,3282
Brian Helgeland,1.0509308197071139,5222
James Bobin,1.0508114252570195,1509
Lorene Scafaria,1.049608971389918,3282
John Madden,1.0484512106016468,2666
Carlos Saldanha,1.048267867811079,2132
Tom Vaughan,1.0480214449246124,4663
Gabriele Muccino,1.0473495252012326,3433
Paul McGuigan,1.0471287358367694,4705
Stanley Kubrick,1.0450766217236602,1351
Richard Eyre,1.0449912686737595,3368
Stephen Chbosky,1.0436338686640612,4705
Wayne Wang,1.0417467901146904,2986
Neil Marshall,1.0399870688699782,3478
David S. Ward,1.0396442563872836,3059
Kenneth Lonergan,1.0392342344130254,5139
Ric Roman Waugh,1.0382348610123144,3163
Timur Bekmambetov,1.0378246525251846,5181
Alan Taylor,1.0378187242518324,3578
"Gary Trousdale, Kirk Wise",1.0359331399712415,2132
"Peter Farrelly, Bobby Farrelly",1.0357204721091071,5033
Babak Najafi,1.035222156143342,3212
Gary Trousdale,1.0351650377267554,3123
Andrzej Bartkowiak,1.0338655788135689,5139
Chad Stahelski,1.0330075814345947,1280
Carl Franklin,1.032776330304005,5222
Tom Dey,1.0289395398851549,5387
Scott Frank,1.0272884987686373,5034
Jerry Zucker,1.0271112162915763,3395
John Glen,1.0270106139441553,4705
John Milius,1.0256364626232244,3589
Patrick Hughes,1.0227889828086214,3433
Steven Knight,1.0227017486807468,5181
Richard Curtis,1.0211173416070993,3368
Tommy Wirkola,1.0193644240882735,5139
